bib_key,title,year,doi,category,original_status,local_pdf,source_markdown,reference_years
Draws2021,Disparate Impact Diminishes Consumer Trust Even for Advantaged Users,2021,10.1007/978-3-030-79460-6_11,自利结果与公平判断,local_pdf,papers_originals\paper2_ewa\Draws2021.pdf,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2021
Epley2004,Egocentric Ethics,2004,10.1023/B:SORE.0000027408.72713.45,自利结果与公平判断,local_pdf,papers_originals\paper2_ewa\Epley2004.pdf,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2004
Epley2016,The Mechanics of Motivated Reasoning,2016,10.1257/jep.30.3.133,动机性信念,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md,2016
Everett2026,Principles for understanding trust in artificial intelligence,2026,10.1038/s44159-026-00562-1,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; AI信任错配的政策治理_管理学文献补充_2026-08-02.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2026
Festinger1959,Cognitive consequences of forced compliance.,1959,10.1037/h0041593,动机性信念,local_pdf,papers_originals\paper2_ewa\Festinger1959.pdf,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md,1959
Greiner2026,"Incentives, Framing, and Reliance on Algorithmic Advice: An Experimental Study",2026,10.1287/mnsc.2022.02777,反馈、绩效与激励,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2025; 2026
Grossman1981,The Informational Role of Warranties and Private Disclosure about Product Quality,1981,10.1086/466995,披露与治理,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,1981
Hancock2021,Evolving Trust in Robots: Specification Through Sequential and Comparative Meta-Analyses,2021,10.1177/0018720820922080,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2021
Hoff2015,Trust in Automation,2015,10.1177/0018720814547570,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2015
Jiao2020,Payoff-Based Belief Distortion,2020,10.1093/ej/ueaa019,动机性信念,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md,2020
Kaplan2023,Trust in Artificial Intelligence: Meta-Analytic Findings,2023,10.1177/00187208211013988,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2023
Kim2004,Removing the Shadow of Suspicion: The Effects of Apology Versus Denial for Repairing Competence- Versus Integrity-Based Trust Violations.,2004,10.1037/0021-9010.89.1.104,信任修复,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2004
Klingbeil2024,Trust and reliance on AI — An experimental study on the extent and costs of overreliance on AI,2024,10.1016/j.chb.2024.108352,不可信 AI 与依赖后果,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2024
Kobis2025,Delegation to artificial intelligence can increase dishonest behaviour,2025,10.1038/s41586-025-09505-x,AI 委托与责任,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2025
Kreps2023,Exploring the artificial intelligence “Trust paradox”: Evidence from a survey experiment in the United States,2023,10.1371/journal.pone.0288109,信任与使用的分离,local_pdf,papers_originals\paper2_ewa\Kreps2023.pdf,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2023
Kunda1990,The case for motivated reasoning.,1990,10.1037/0033-2909.108.3.480,动机性信念,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,1990
Landes2026,"People defer to AI moral advice, but not blindly",2026,10.1016/j.cognition.2026.106504,不可信 AI 与依赖后果,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2026
LeeSee2004,Trust in Automation: Designing for Appropriate Reliance,2004,10.1518/hfes.46.1.50_30392,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2004
Logg2019,Algorithm appreciation: People prefer algorithmic to human judgment,2019,10.1016/j.obhdp.2018.12.005,算法厌恶与欣赏,local_pdf,papers_originals\paper2_ewa\Logg2019.pdf,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2019
Lu2026,Can Providing Algorithmic Performance Information Facilitate Humans’ Inventory Ordering Behaviors?,2026,10.1287/isre.2022.0621,绩效信息与透明度,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2026
Luo2019,Frontiers: Machines vs. Humans: The Impact of Artificial Intelligence Chatbot Disclosure on Customer Purchases,2019,10.1287/mksc.2019.1192,披露与治理,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2019
Mayer1995,An Integrative Model of Organizational Trust,1995,10.5465/amr.1995.9508080335,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,1995
Mckenna2024,A Meta-Analysis of Vulnerability and Trust in Human–Robot Interaction,2024,10.1145/3658897,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2024
Mehrotra2024,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges",2024,10.1145/3696449,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2024
Miazek2025,When AI is fairer than humans: The role of egocentrism in moral and fairness judgments of AI and human decisions,2025,10.1016/j.chbr.2025.100719,自利结果与公平判断,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2025
Milgrom1981,Good News and Bad News: Representation Theorems and Applications,1981,10.2307/3003562,披露与治理,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,1981
Pareek2024,Trust Development and Repair in AI-Assisted Decision-Making during Complementary Expertise,2024,10.1145/3630106.3658924,信任修复,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2024
Schaefer2016,A Meta-Analysis of Factors Influencing the Development of Trust in Automation,2016,10.1177/0018720816634228,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2016
Schanke2026,Digital Lyrebirds: Experimental Evidence That Voice-Based Deep Fakes Influence Trust,2026,10.1287/mnsc.2022.03316,披露与治理,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md,2024
Sprinkle2003,Perspectives on experimental research in managerial accounting,2003,10.1016/S0361-3682(01)00058-7,反馈、绩效与激励,doi_only,,RP_使用AI的奖励与能力高估_2026-08-02.md,2003
Vaccaro2024,When combinations of humans and AI are useful: A systematic review and meta-analysis,2024,10.1038/s41562-024-02024-1,算法建议与人机协作,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2024
Wischnewski2022,Can AI Reduce Motivated Reasoning in News Consumption? Investigating the Role of Attitudes Towards AI and Prior-Opinion in Shaping Trust Perceptions of News,2022,10.3233/FAIA220198,动机性信念,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2022
Xu2026,Shifting accountability to artificial intelligence: delegating challenging decisions to AI for responsibility avoidance,2026,10.1016/j.jbusres.2026.116313,AI 委托与责任,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2026
Xu2026a,Identity Disclosure and Anthropomorphism in Voice Chatbot Design: A Field Experiment,2026,10.1287/mnsc.2022.03833,披露与治理,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2026
Yang2026,"My Advisor, Her AI, and Me: Evidence from a Field Experiment on Human–AI Collaboration and Investment Decisions",2026,10.1287/mnsc.2022.03918,算法建议与人机协作,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md,2025; 2026
YinNgiamTanTeo2025,Designing AI-Based Work Processes: How the Timing of AI Advice Affects Diagnostic Decision Making,2025,10.1287/mnsc.2022.01454,算法建议与人机协作,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2025
